mmsi,name,imo,lat,lon,sog,cog,nav_status,ship_type,destination,eta,dim_bow,dim_stern,timestamp
257088680,MORINGEN,9855159,,,,,,60,1064 EDOYA-SANDVIKA,"{""Day"":21,""Hour"":12,""Minute"":34,""Month"":3}",36,31,
257089150,EAGLE BALDER,,60.62789,4.2451,0.8,167.7,0,,,,,,2026-03-30 01:18:49.428587285 +0000 UTC
257089640,JAN GUNNAR,,70.85751,29.08948,0,188.2,15,,,,,,2026-03-30 01:18:51.525047415 +0000 UTC
257093110,VILJA,,63.68813,8.75905,0,25.4,0,,,,,,2026-03-30 01:18:46.343981559 +0000 UTC
257094710,OKSTIND,,66.58917,12.84625,0.1,194.4,5,,,,,,2026-03-30 01:18:41.238227641 +0000 UTC
257099960,CSAVER,,62.97281,7.78933,0,360,0,,,,,,2026-03-30 01:18:50.489335465 +0000 UTC
257104510,LAMBOY,0,,,,,,99,,"{""Day"":1,""Hour"":1,""Minute"":1,""Month"":1}",4,8,
257105640,LARSTEIN,,60.3017,5.13292,0,211,15,,,,,,2026-03-30 01:18:43.560203095 +0000 UTC
257107110,GULAROY,,63.88609,9.86505,0,119.5,15,,,,,,2026-03-30 01:18:52.048030388 +0000 UTC
257109410,EL-IDA,,66.80171,13.23384,0,56.6,0,,,,,,2026-03-30 01:18:45.321803798 +0000 UTC
257114970,SCANBIO ELIDA,,59.02952,5.62891,9.4,125.5,0,,,,,,2026-03-30 01:18:49.89052236 +0000 UTC
257115020,ALINE,,68.23397,14.57703,0,148.8,0,,,,,,2026-03-30 01:18:46.355623531 +0000 UTC
257116000,STRAUMBERG,,68.23423,14.57783,0,72.9,0,,,,,,2026-03-30 01:18:41.250391785 +0000 UTC
257119590,HAVFISKEN,,61.76514,4.87877,0,8.1,0,,,,,,2026-03-30 01:18:49.414799537 +0000 UTC
257120700,MB HOLLEN,0,,,,,,60,KRISTIANSAD,"{""Day"":22,""Hour"":18,""Minute"":0,""Month"":3}",5,10,
257121400,HALTBAKK BUNKERSERV.,7017351,,,,,,80,FISHFARM,"{""Day"":30,""Hour"":11,""Minute"":45,""Month"":3}",29,6,
257127410,CAMPUS BLAA,0,,,,,,70,TOFT,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",4,10,
257129000,STRIL MERKUR,,60.72296,3.32229,2.6,209.7,0,,,,,,2026-03-30 01:18:42.273014226 +0000 UTC
257133550,YNGVE,,69.24322,17.98481,0,156.7,0,,,,,,2026-03-30 01:18:44.322513613 +0000 UTC
257137700,OKSOEY,,64.95808,10.99208,0,324.2,0,,,,,,2026-03-30 01:18:41.249257161 +0000 UTC
257142520,SVENDSEN SENIOR,,67.13548,13.9732,0,203.6,0,,,,,,2026-03-30 01:18:46.357411423 +0000 UTC
257144400,BEBE,,59.26821,11.07519,0,360,5,,,,,,2026-03-30 01:18:51.523741851 +0000 UTC
257165340,AUD WILLIKSEN,,60.30171,5.1328,0,288.3,7,,,,,,2026-03-30 01:18:49.77475624 +0000 UTC
257167540,BOY-ANGEL,,69.83543,18.58968,0,153.6,0,,,,,,2026-03-30 01:18:41.262711075 +0000 UTC
257170000,FROY HARVEST,0,,,,,,52,SMOVAER,"{""Day"":21,""Hour"":12,""Minute"":34,""Month"":3}",5,20,
257171500,VASSDAL,,66.74257,13.49942,0,360,5,,,,,,2026-03-30 01:18:44.307214834 +0000 UTC
257181500,LEROY TRITON,,60.4655,4.96002,0,320.8,0,,,,,,2026-03-30 01:18:49.866448773 +0000 UTC
257182000,COLOR FANTASY,,57.95799,11.22042,21.4,344.4,0,,,,,,2026-03-30 01:18:48.085402116 +0000 UTC
257191400,TRONDS LIFT 6,,59.78847,5.79115,0,360,3,,,,,,2026-03-30 01:18:45.41325495 +0000 UTC
257196000,HAROY,,63.74958,11.29873,0,138,0,,,,,,2026-03-30 01:18:45.640769547 +0000 UTC
257197500,BOLGTIND,,66.80177,13.23348,0,59.1,5,,,,,,2026-03-30 01:18:47.355477815 +0000 UTC
257199500,SKJARGARDTJENESTEN 1,,59.15569,10.43345,0,64,5,,,,,,2026-03-30 01:18:46.61743932 +0000 UTC
257220500,TROLLSJO,,60.10323,5.19861,7.1,157.8,5,,,,,,2026-03-30 01:18:50.112018037 +0000 UTC
257231620,MIA,,63.06019,7.69929,0,360,5,,,,,,2026-03-30 01:18:48.400448165 +0000 UTC
257233000,RONJA MISTRAL,,62.80366,6.97117,0.7,47.9,0,,,,,,2026-03-30 01:18:41.240263215 +0000 UTC
257235600,SPIRIT,,60.14756,5.38044,0,248.2,0,,,,,,2026-03-30 01:18:48.409203676 +0000 UTC
257235800,ERVIK TILVEKST,0,,,,,,90,CH-16,"{""Day"":0,""Hour"":0,""Minute"":0,""Month"":0}",4,10,
257243800,FOSNA THOR,0,,,,,,99,,"{""Day"":18,""Hour"":7,""Minute"":46,""Month"":10}",0,10,
257261000,VEROYTRANS,6804317,,,,,,75,HITRA,"{""Day"":10,""Hour"":10,""Minute"":0,""Month"":8}",32,4,
257261800,FOSNA AURORA,,62.7804,8.26048,0,360,5,,,,,,2026-03-30 01:18:47.341452778 +0000 UTC
257267400,GOMA,6820919,,,,,,9,HOLMESTRAND- LANGOYA,"{""Day"":20,""Hour"":16,""Minute"":30,""Month"":3}",25,25,
257275800,BJORNFJELL,,68.42818,17.42591,0,119.9,0,,,,,,2026-03-30 01:18:45.337249329 +0000 UTC
257278400,GJEMNES,,59.48997,10.32439,0,206.1,5,,,,,,2026-03-30 01:18:46.727747589 +0000 UTC
257282500,OSTER,5266386,,,,,,60,BJOERSVIK,"{""Day"":13,""Hour"":11,""Minute"":30,""Month"":9}",31,45,
257286000,SIEM PEARL,,60.39897,5.31686,0,49,5,,,,,,2026-03-30 01:18:45.421094606 +0000 UTC
257295400,SUNDFERJA,,61.05497,4.71768,0,181.5,0,,,,,,2026-03-30 01:18:48.385893728 +0000 UTC
257307000,POLFOSS,9393917,,,,,,30,NO VAO,"{""Day"":29,""Hour"":8,""Minute"":30,""Month"":3}",21,61,
257358800,GYLTINGEN,,59.68185,10.62545,0,271.5,0,,,,,,2026-03-30 01:18:51.53704841 +0000 UTC
257376700,MS BRAGDOYA,,58.12359,7.97113,0,360,5,,,,,,2026-03-30 01:18:48.136392131 +0000 UTC
257377500,VIRAK,,66.02095,12.62293,0,243.3,5,,,,,,2026-03-30 01:18:47.344403207 +0000 UTC
257379400,STJERNSUND,,61.07414,4.83641,0,360,15,,,,,,2026-03-30 01:18:41.261680024 +0000 UTC
257418000,GERD JULIE,,66.74784,13.5394,0,344.4,7,,,,,,2026-03-30 01:18:45.35414779 +0000 UTC
257436500,ROGER,,68.90996,15.07112,0,172.3,0,,,,,,2026-03-30 01:18:49.437353731 +0000 UTC
257437000,HARVEST,,60.04953,5.19547,0,352.4,0,,,,,,2026-03-30 01:18:47.719533072 +0000 UTC
257454000,RUNING,,62.46473,6.11917,0,47,15,,,,,,2026-03-30 01:18:42.268017676 +0000 UTC
257475000,STRIL MERMAID,9538529,,,,,,90,TASTA,"{""Day"":29,""Hour"":21,""Minute"":30,""Month"":3}",23,56,
257485000,HAVSNURP,,62.67613,6.67438,0,69.2,0,,,,,,2026-03-30 01:18:48.384792296 +0000 UTC
257489500,HAVBAS,9038971,70.71935,23.8087,0,220.4,0,30,CH16 / +4748157971,"{""Day"":21,""Hour"":11,""Minute"":0,""Month"":12}",37,7,2026-03-30 01:18:46.405508904 +0000 UTC
257491500,LOS 123,0,,,,,,50,NORWAY,"{""Day"":0,""Hour"":0,""Minute"":0,""Month"":0}",14,3,
257492000,KV BERGEN,,58.27545,6.155,5,317.2,0,,,,,,2026-03-30 01:18:50.915339823 +0000 UTC
257496500,SANDNESEN,,61.34602,5.05491,0,360,0,,,,,,2026-03-30 01:18:41.246624794 +0000 UTC
257497500,TINDSKJAER,,67.6543,12.71897,0.1,271.8,7,,,,,,2026-03-30 01:18:48.399308846 +0000 UTC
257524500,HAVSEL,,70.24589,23.39704,0,259.3,5,,,,,,2026-03-30 01:18:45.336352298 +0000 UTC
257547800,ERLING,0,,,,,,33,FANOYA,"{""Day"":6,""Hour"":8,""Minute"":0,""Month"":12}",3,11,
257548500,VESTSKJAER,,68.57137,14.88588,0,262.6,0,,,,,,2026-03-30 01:18:50.483140272 +0000 UTC
257550000,SALTSTRAUM,,53.12925,4.35651,6.1,228,0,,,,,,2026-03-30 01:18:48.244534675 +0000 UTC
257563000,RONJA SKILSOY,9857406,,,,,,75,NOFST,"{""Day"":2,""Hour"":11,""Minute"":30,""Month"":1}",63,21,
257576600,OLAGUTT,,68.64223,15.52043,0,156.1,7,,,,,,2026-03-30 01:18:45.343616872 +0000 UTC
257578600,TUNFISK,8657878,,,,,,30,TLF 95789868,"{""Day"":21,""Hour"":12,""Minute"":34,""Month"":3}",25,12,
257586000,WITH HARVEST,,63.81701,9.63778,0,16.3,0,,,,,,2026-03-30 01:18:52.049233727 +0000 UTC
257594600,SJOHAV,,59.79945,5.7402,0,231,0,,,,,,2026-03-30 01:18:45.415401136 +0000 UTC
257597900,ROVAERFJORD,,59.41239,5.26728,0,145.9,0,,,,,,2026-03-30 01:18:46.912464867 +0000 UTC
257602000,LISE BEATE,,61.28389,4.63296,0,198.9,7,,,,,,2026-03-30 01:18:46.351184043 +0000 UTC
257603700,SVENNINGEN,,66.36857,12.59391,0,200.4,0,,,,,,2026-03-30 01:18:42.269032336 +0000 UTC
257605500,ROHOLMEN,,69.323,16.13492,0,90.6,0,,,,,,2026-03-30 01:18:46.354412699 +0000 UTC
257605600,BERGSOY,,63.22895,8.23135,0,360,0,,,,,,2026-03-30 01:18:43.293333366 +0000 UTC
257607700,SYV SOSTRE,0,,,,,,70,,"{""Day"":0,""Hour"":0,""Minute"":0,""Month"":0}",5,10,
257607800,SOER-NAMSEN,,64.58502,10.92152,0,218,5,,,,,,2026-03-30 01:18:47.340135137 +0000 UTC
257617500,SOLSTRAND,,69.81302,19.98829,0,352.6,0,,,,,,2026-03-30 01:18:49.418905658 +0000 UTC
257632000,AURORA COOPER,,64.29025,7.39175,9,175.4,0,,,,,,2026-03-30 01:18:49.432974087 +0000 UTC
257633700,BONDOEY,,64.90359,11.28078,0,360,0,,,,,,2026-03-30 01:18:42.276866026 +0000 UTC
257653600,ELIDA,,68.83875,17.40015,0,258,5,,,,,,2026-03-30 01:18:45.359143986 +0000 UTC
257661500,BALLSTADGUTT,,68.06769,13.53631,0,158,2,,,,,,2026-03-30 01:18:45.349823691 +0000 UTC
257671900,FOSNA_CHALLENGER,,62.14085,6.07372,0,122.4,0,,,,,,2026-03-30 01:18:50.478638334 +0000 UTC
257681000,BB ELECTRA,,59.88758,10.7479,0,233,5,,,,,,2026-03-30 01:18:41.884956892 +0000 UTC
257683600,ASBJOERN,9718650,,,,,,0,STOKMARKES,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",4,19,
257687600,FOSNA FRIGG,,62.47031,6.22179,0,276.4,0,,,,,,2026-03-30 01:18:43.290940349 +0000 UTC
257690600,ATLANTIS,,59.13203,5.93843,0,220.5,0,,,,,,2026-03-30 01:18:40.749261248 +0000 UTC
257703800,ERIKA,,59.26941,6.14401,0,314.9,0,,,,,,2026-03-30 01:18:45.356847627 +0000 UTC
257706800,VILMA,,62.73542,7.87523,0,210.9,0,,,,,,2026-03-30 01:18:45.357919621 +0000 UTC
257721000,HAVILA PHOENIX,,57.1355,-2.05299,0,316.3,5,,,,,,2026-03-30 01:18:41.625363414 +0000 UTC
257737500,MAJA 2,,68.91349,15.06977,0,306.4,0,,,,,,2026-03-30 01:18:45.329153123 +0000 UTC
257764900,BUDDY,,62.46745,6.11816,0,324,0,,,,,,2026-03-30 01:18:46.348254753 +0000 UTC
257787000,VIKING PRINCE,9596296,,,,,,70,SANDNESSJOEN,"{""Day"":30,""Hour"":11,""Minute"":0,""Month"":3}",23,67,
257798370,FLIPPER,0,,,,,,70,CH 16,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",10,5,
257798800,RIGNATOR,,68.88716,16.40744,7.7,131.1,0,,,,,,2026-03-30 01:18:48.407217948 +0000 UTC
257801800,NESOY,,66.57172,12.62702,0,147.7,0,,,,,,2026-03-30 01:18:46.368064842 +0000 UTC
257815000,LEINEBJOERN,,62.34246,5.69164,0,291,0,,,,,,2026-03-30 01:18:45.347078076 +0000 UTC
257828000,INSPIRER,,57.81475,4.53453,0,213.2,15,,,,,,2026-03-30 01:18:49.416944032 +0000 UTC
257851800,HALSAFJORD,,63.05327,7.70775,0,42.5,13,,,,,,2026-03-30 01:18:43.286411606 +0000 UTC
257870000,NORVAAG,9135743,,,,,,70,NOFNE,"{""Day"":30,""Hour"":6,""Minute"":0,""Month"":3}",82,7,
257872800,HELGOEY,,69.62308,18.21811,0,360,0,,,,,,2026-03-30 01:18:41.251483564 +0000 UTC
257874000,NORTHERN PATHFINDER,,60.55409,4.88798,0,162.8,5,,,,,,2026-03-30 01:18:46.360962159 +0000 UTC
257906000,FROEY VIKING,9694799,,,,,,75,VINGVAAGEN,"{""Day"":1,""Hour"":23,""Minute"":0,""Month"":3}",18,60,
